Data File Name,Scale Name,Column Name,Reverse,Min,Max,Transform,Engagement,Perseverance,Optimism,Connectedness,Happiness
FP MRI T1,EPOCH,EPOCH_1,0,1,5,0,0,0,0,1,0
FP MRI T1,EPOCH,EPOCH_2,0,1,5,0,0,1,0,0,0
FP MRI T1,EPOCH,EPOCH_3,0,1,5,0,0,0,1,0,0
FP MRI T1,EPOCH,EPOCH_4,0,1,5,0,0,0,0,0,1
FP MRI T1,EPOCH,EPOCH_5,0,1,5,0,1,0,0,0,0
FP MRI T1,EPOCH,EPOCH_6,0,1,5,0,0,0,0,0,1
FP MRI T1,EPOCH,EPOCH_7,0,1,5,0,1,0,0,0,0
FP MRI T1,EPOCH,EPOCH_8,0,1,5,0,0,0,0,0,1
FP MRI T1,EPOCH,EPOCH_9,0,1,5,0,0,1,0,0,0
FP MRI T1,EPOCH,EPOCH_10,0,1,5,0,0,0,0,1,0
FP MRI T1,EPOCH,EPOCH_11,0,1,5,0,1,0,0,0,0
FP MRI T1,EPOCH,EPOCH_12,0,1,5,0,1,0,0,0,0
FP MRI T1,EPOCH,EPOCH_13,0,1,5,0,0,0,1,0,0
FP MRI T1,EPOCH,EPOCH_14,0,1,5,0,0,0,0,1,0
FP MRI T1,EPOCH,EPOCH_15,0,1,5,0,0,0,1,0,0
FP MRI T1,EPOCH,EPOCH_16,0,1,5,0,0,0,0,1,0
FP MRI T1,EPOCH,EPOCH_17,0,1,5,0,0,1,0,0,0
FP MRI T1,EPOCH,EPOCH_18,0,1,5,0,0,0,1,0,0
FP MRI T1,EPOCH,EPOCH_19,0,1,5,0,0,1,0,0,0
FP MRI T1,EPOCH,EPOCH_20,0,1,5,0,0,0,0,0,1
