Data File Name,Scale Name,Column Name,Reverse,Min,Max,Transform,Positive Affect,Negative Affect
FP MRI T1,PANAS,PANAS_1,0,1,5,0,1,0
FP MRI T1,PANAS,PANAS_2,0,1,5,0,0,1
FP MRI T1,PANAS,PANAS_3,0,1,5,0,1,0
FP MRI T1,PANAS,PANAS_4,0,1,5,0,0,1
FP MRI T1,PANAS,PANAS_5,0,1,5,0,1,0
FP MRI T1,PANAS,PANAS_6,0,1,5,0,0,1
FP MRI T1,PANAS,PANAS_7,0,1,5,0,0,1
FP MRI T1,PANAS,PANAS_8,0,1,5,0,0,1
FP MRI T1,PANAS,PANAS_9,0,1,5,0,1,0
FP MRI T1,PANAS,PANAS_10,0,1,5,0,1,0
FP MRI T1,PANAS,PANAS_11,0,1,5,0,0,1
FP MRI T1,PANAS,PANAS_12,0,1,5,0,1,0
FP MRI T1,PANAS,PANAS_13,0,1,5,0,0,1
FP MRI T1,PANAS,PANAS_14,0,1,5,0,1,0
FP MRI T1,PANAS,PANAS_15,0,1,5,0,0,1
FP MRI T1,PANAS,PANAS_16,0,1,5,0,1,0
FP MRI T1,PANAS,PANAS_17,0,1,5,0,1,0
FP MRI T1,PANAS,PANAS_18,0,1,5,0,0,1
FP MRI T1,PANAS,PANAS_19,0,1,5,0,1,0
FP MRI T1,PANAS,PANAS_20,0,1,5,0,0,1
