Data File Name,Scale Name,Column Name,Reverse,Min,Max,Transform,Mean
FP MRI T2 Check In ,SCC,SCC_1,1,1,5,0,1
FP MRI T2 Check In ,SCC,SCC_2,1,1,5,0,1
FP MRI T2 Check In ,SCC,SCC_3,1,1,5,0,1
FP MRI T2 Check In ,SCC,SCC_4,1,1,5,0,1
FP MRI T2 Check In ,SCC,SCC_5,1,1,5,0,1
FP MRI T2 Check In ,SCC,SCC_6,0,1,5,0,1
FP MRI T2 Check In ,SCC,SCC_7,1,1,5,0,1
FP MRI T2 Check In ,SCC,SCC_8,1,1,5,0,1
FP MRI T2 Check In ,SCC,SCC_9,1,1,5,0,1
FP MRI T2 Check In ,SCC,SCC_10,1,1,5,0,1
FP MRI T2 Check In ,SCC,SCC_11,0,1,5,0,1
FP MRI T2 Check In ,SCC,SCC_12,1,1,5,0,1
